experiment,context,sigma_label,method,count,alignment_mean,M_trace,M_mu,T,mu_norm_sigma,mu_norm_sigma_inv,alignment_metric,panel,d,n,M_iso,mu_norm_l2,alpha,mu_direction
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.2,,20,0.9735376054269402,0.1559206154700081,6.293961408377439,37.91366714741052,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,12000.0,600.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.2,,20,0.9752035161028783,0.1274886137464743,6.293961408377439,37.99090132229194,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,16000.0,800.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.2,,20,0.9766098593167701,0.10905618006081749,6.293961408377439,38.045209033118894,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,20000.0,1000.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9919089927261762,0.0651484209673354,6.293961408377439,38.56092276030663,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,2000.0,100.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9938418819689854,0.0431540187731639,6.293961408377439,38.596418808411,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,4000.0,200.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9957511658982428,0.0221788342253608,6.293961408377439,38.6158374796831,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,8000.0,400.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9962491516340023,0.0148080658742233,6.293961408377439,38.6227704183172,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,12000.0,600.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9966877437530641,0.0111159754183926,6.293961408377439,38.62637778786116,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,16000.0,800.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.5,,20,0.9969771129920625,0.0088982032485408,6.293961408377439,38.62860389682279,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,20000.0,1000.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.8,,20,0.9941598817184281,0.01364430726119,6.293961408377439,38.61700420213509,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,2000.0,100.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.8,,20,0.9949554025458605,0.007533534351955999,6.293961408377439,38.62775705452671,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,4000.0,200.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.8,,20,0.99624894858298,0.0032167150495707,6.293961408377439,38.633154615769215,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,8000.0,400.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.8,,20,0.9971148411531887,0.0019243602212603,6.293961408377439,38.63495774228773,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,12000.0,600.0,,6.293961408377439,,
exact_spectrum_scaling_alignment,"E2 spectrum scaling by panel, Sigma and d/n",polynomial alpha=0.8,,20,0.9971798300056465,0.0013355444128038,6.293961408377439,38.6358601952084,6.293961408377439,6.293961408377439,A_svm_wstar,fixed_rate_vary_d,16000.0,800.0,,6.293961408377439,,
